ID;Name;Gender;Math;History;Biology;Chemistry;Physics;Informatics;Alchemy;Astrology
11c-0;"Szikla Mónika";W;4;1,4,5,2;5,5,5,2,3;5,4,5,2;;;5,5;2,5,4,3,4
11c-1;"Har Pál";M;4,5,5,1;5,1,3;1;;2;;;4,1,2,5
11c-2;"Major Simon";M;5;1,5;4,4,2,5;2,3,5,5,1;1,1,2,1,3;3,4,2;1,3,1,5;
11c-3;"Major Viola";W;5,1,4;1,3,4,3;5,4,3;2,2,2,2;4,1,5,2,2;5,5,2;4,5,4,2,2;2,4,4,1,1
11c-4;"Kard Csaba";M;4,1,5,4,2;4,5,2;1;5,4,4,2;5,3,2;4,4;3,2,2,3,3;3,3,3,4
11c-5;"Para Mónika";W;2,5,3,1;2,4,3,3,5;1,4,1;3,3,2,1;4,5;;2,1;4,5
11c-6;"Remek Ella";W;1,1,3;2,1;;;;2,2,1;2;5,1,5,5
11c-7;"Budipa Nóra";W;1,5;5,2,1;3,1,5,5;5,2;4,4;4,5,5,2,5;5,5,5;3,1
11c-8;"Ének Blanka";W;4,3,4,1;1;2,5,2,5,3;4,2;;5,4;2,5,1,1,2;4,3,3
11c-9;"Har Zita";W;;2,2,4,2,4;1;5;2,3,4,3,5;2,2,3,5,3;;2,5,5,5
11c-10;"Git Pál";M;1;;;2,3;5,4,4,4,4;;;1,1,1
