ID;Name;Gender;math;history;biology;chemistry;physics;informatics;alchemy;astrology
11a-0;"Békés Ödön";M;3,4,2,2,1;1,4,2,4;3;4,5,2,2,3;5,4,1,4;4,2,3,1,3;4,4,2,5,1;2
11a-1;"Harm Szilárd";M;3,2,2,4,1;4,5,3,5;1,5,4;1,5,5,1;5,2,1;2;2,2;4
11a-2;"Kard Ödön";M;1,1;5,5,2;1;4;5,1,1;5;4,1;4,3
11a-3;"Ének Piroska";W;2,5,1,3;1,2;1,4,1,4;3;2;3,4,2,2,5;5,3,1,4,5;4
11a-4;"Bor Viola";W;4,2,5;4,4,4,2,1;3,3,5,4,3;1,3,1,4;1,1,3,2;4,4;1;3
11a-5;"Kandisz Rita";W;2,5,2;4;2,3;2;2,2,5;1;3,1;1,3,4,1,4
11a-6;"Rabsz Virág";W;3,5,2,5,1;4,4,1,4;3,3;4;1;2,1,4,1;2,2,5,3,2;1,1,5,2
11a-7;"Har Dóra";W;1,3;3,2,3,2;5,3,4,1,2;1,2,4;5,1,3,3,5;2,1,3;1,4;4,4
11a-8;"Bármi Ödön";M;1;4,3,4,5;3,2,3,4;5,5,2,4,4;3;1,3,3,3,3;4,4;2,1,3,4
11a-9;"Major Ottó";M;2,3,3,3,2;1,2,2;3,3,5,2;5,1;3,3;3,1,3,2,4;5,3,5;4,1,5
11a-10;"Szikla Csaba";M;1,5;1,1,5,4,4;2,2,1,4;4,4,4,2,2;3,3,2,1;2,4;1,2;4,5,3,3,4
11a-11;"Pum Áron";M;2;2;5,4,1,3;4,5;2,3,3,1,2;4;1;1,2,2
11a-12;"Riz Zita";W;2,4,1,1;2,3,5,1;1;1,4;1,1,1,1;3,2,1,5;1,1,2,3,2;5,4,5
11b-0;"Budipa Kálmán";M;5,4,4;4,3,2,1;4,4,4,2,5;4,5;5,1,5,3;2,2;3,3,5,4;5
11b-1;"Minden Nóra";W;2;2,4,1;5;5,3;3,5,5,2,5;3,5,1,2;2,4,5;5
11b-2;"Pum Virág";W;4;4,2,1,3,2;1,3,1,3;1,1;5,2,5,5,2;2,4,4,3;1,4,4;2
11b-3;"Kalim Pál";M;4,5,5,1;3,5,3,3,2;1,3,3,4,2;1,3,1,2;5,3,4,4;4,2,3;5,3,3,4,3;3
11b-4;"Külö Mónika";W;2,1;5,5,5,2;5;5,5;5,5,2,3;5,2,5;2,4,2;2,3
